PLATE CONFIGURATION,,,FINAL REVIEW BIO,,,,FINAL REVIEW CAO,COMMENTS,COMPLETED
00MGWTF,,,R,,,,U,,7/30/2021
01D FART,,,R,,,,U,,6/22/2021
0FX6VN,,,R,,,,U,,11/30/2021
0FXGVN,,,R,,,,U,,4/21/2021
0HUFFDA,,,R,,,,U,,10/28/2021
0MW2FMW,,,R,,,,U,,5/26/2021
0MW2FU8,,,R,,,,U,,10/28/2021
0MW2FYD,,,R,,,,U,,7/30/2021
0MW2FYD,,,R,,,,U,,7/30/2021
0MW2FYM,,,R,,,,U,,9/29/2021
0MW2FYM,,,R,,,,U,,9/29/2021
0MW2FYW,,,R,,,,U,,10/6/2021
0MWMF,,,R,,,,U,,6/22/2021
0MWTF,,,R,,,,U,,2/26/2021
0MWTFMW,,,R,,,,U,,3/11/2021
0MWTFYC,,,R,,,,U,,11/30/2021
0MWTFYD,,,R,,,,U,,7/30/2021
0MWTFYD,,,R,,,,U,,7/30/2021
0MWTFYH,,,R,,,,U,,1/13/2021
0MY2FUB,,,R,,,,U,,3/11/2021
0NEMF,,,R,,,,U,,6/22/2021
0PNWDE,,,R,,,,U,,7/23/2021
0RDGY,,,R,,,,U,,11/30/2021
0SH8T,,,R,,,,U,,7/30/2021
0SH8T,,,R,,,,U,,7/30/2021
0UTTAFX,,,R,,,,U,,10/28/2021
13MF,,,R,,,,U,,7/30/2021
13MF,,,R,,,,U,,7/30/2021
1ANGRYB,,,R,,,,U,,6/22/2021
1BSHT,,,R,,,,U,,9/29/2021
1BSHT,,,R,,,,U,,9/29/2021
1DGAF,,,R,,,,U,,9/29/2021
1DGAF,,,R,,,,U,,9/29/2021
1FKNCER,,,R,,,,U,,11/30/2021
1FRMF,,,R,,,,U,,6/22/2021
1MILF,,,R,,,,U,,11/30/2021
1REDRUM,,,R,,,,U,,3/17/2021
1SHTB0X,,,R,,,,U,,2/26/2021
1SSA,,,R,,,,U,,6/22/2021
1TITAWT,,,R,,,,U,,7/30/2021
1TITAWT,,,R,,,,U,,7/30/2021
1TITI,,,R,,,,U,,8/6/2021
2020WTF,,,R,,,,U,,1/13/2021
2DEEPNU,,,R,,,,U,,1/13/2021
2Q2CUM,,,R,,,,U,,11/5/2021
310HSSA,,,R,,,,U,,11/5/2021
3J0HSSA,,,R,,,,U,,11/30/2021
4EVER69,,,R,,,,U,,1/7/2022
4FUXAKE,,,R,,,,U,,6/22/2021
4FXSAKE,,,R,,,,U,,9/29/2021
4FXSAKE,,,R,,,,U,,9/29/2021
4L0H0,,,R,,,,U,,9/29/2021
